ID,Name,Review Content,Review ID
1,Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,"['#11.11 PTA approved device received safely. Mobile battery was low and required charging before getting on.', 'good mobile same as shown in the picture 😺 reviews dekh ky tu dar gaya tha but ❤️ genuine product hy pin pack pta approved and non active', 'everything is perfect colour b same aya..😇 I am so happy thanks Daraz ..❤ highly recommended... 👌👍', ""I get the mobile its pta approved but made of Vietnam also its doesn't have charger that's the negative point , get the mobile on discounted rate in #11.11 . hopefully it will work for a long time 😃"", ""phone was brand new, box packed, came in secure packaging,can't see the PTA sticker,, but seller said it is approved,, so i believe seller words😊."", 'Got this in just Rs.26419 while market price is still Rs.30000. Thanks to Daraz 11.11 Exactly same as described. delivered in just 2 days. its my 4th cell phone purchase from Daraz. Amazing experience as always', 'Yr bht he sasta mila sale mai market mai 35 ka hai 128gb or wholesale mai bhi 31 se kam mai nahi hai or dosra non active hai vip hogia mene online check kia hai original packing mai tha thanks bhai jan', 'Buhat Acha Mobile hai 100% Original products thanks Daraz Thanks seller', 'Mobile is the same as shown in the picture... Original product. Charger not available in the box.Satisfied with the product but delivery was far away from expectations', '#11.11 PTA approved device received safely. Mobile battery was low and required charging before getting on.', 'nice 👍 good mobile but delivery is to slow over All is very good', 'no charger no warranty card/ no any back cover only one mobile..']","['Habib R.', 'junaid K.', 'ChefMisbah', 'Shakir', 'zeeshan K.', 'Tariq A.', 'talha J.', 'Kamran A.', 'w***.', 'Habib R.', 'vicky', 'zeshan']"
2,Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,"['I got what was shown, but I want to tell about the seller that my chat was not responded even after a couple of days, so please make your availability there so that the customer can place the order with full sitesify. Because the amount matters But my goal was to buy the product from there, so I took what I have and it is 💯 %authentic, and the warranty has not started yet, But the handsfree did not come out of the box, maybe not provided by the company. So the Overall experience was great and the seller is highly recommended. Thanks Daraz & Seller.🥰', 'Acha mobile hai and same cheez delivered ki hai with fast delivery service, satisfied with daraz and seller, i bought many mobiles from daraz aj tak koi b mobile kharab nhe nikla, thanks daraz for maintenance of trust with customers. love from Rawalpindi', 'Allahamdolilah received📩 mobile is original and new as mentioned recommended for buying. same thing which is ordered rather late delivered', 'Acha mobile hai and same cheez delivered ki hai with fast delivery service, satisfied with daraz and seller, i bought many mobiles from daraz aj tak koi b mobile kharab nhe nikla, thanks daraz for maintenance of trust with customers. love from Rawalpindi', 'Allahamdolilah received📩 mobile is original and new as mentioned recommended for buying. same thing which is ordered rather late delivered', 'I received my parcel two days ago. genuine products hai ❤️❤️aur time pr delivered hua.😍 Dill khush ho gia cell dekh kr thank you so much bhai🥰', 'buht acha phone ha original phone one year official warranty ha ❤❤', 'real mobile set with complete box having wire charger wireless charger. jack pin with non active phone set. this is non active mobile set. i really very happy. thanks dear', 'bahot acha mobile hy thanks daraz and seller', 'Pin packed and original product Recommended seller', 'good packing. arrived at time but mic ka problem lagta hai awaz agay bohat kam jati hai. subah tak daikhta ho nai tu return kar du ga', 'nice product I ma really happy to buy from daraz and thank you seller pin packed product 😍😍😍😍i am really confused to buy this but amazing product ☺ you should also believe the saller and daraz']","['Snake E.', 'Usama S.', 'Amir B.', 'Usama S.', 'Amir B.', 'ihtesham', '*******905', 'legend I.', 'kashif K.', 'Abd U.', '3***0', 'IQ K.']"
3,Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,"['Mobil is little bit slow, camera result average. Seller is not cooperating but product received is well packed and as per mentioned specifications', 'Excellent 👍 Pin pack device with mega discount in #11.11 #11.11 seller is honest Daraz has become a life patner. Thanks Daraz. Thanks Tecno Pakistan.', 'Tecno Spark 10 Pro 💯% original mobile, PTA approved, sealed pack, box pack, with all accessories. thank and love u daraz and seller 🥰🌹👍', 'at least i recieved my phone its awesome phone features also best, camera 💯 , battery life too good, smart and weight less phone 💯 recommended', 'After using for few days i found this phone very recommended under such price', 'الحمدللہ ٹیکنو موبائل فون %ا100 اوریجنل موبائل ہے ۔ وارنٹی بھی 13 مہینے کی ہے ۔ میں سیلر کی سروسز سے مطمئن ہوں ۔', '#11.11 میں نے ابھی تک اسے کھولا نہیں ہے ۔ ارڈر دیے ہوئے چھ دن ہو چکے تھے کافی لیٹ ایا ہے ۔ لیکن بہرحال اوریجنل پروڈکٹ لگ رہی ہے ۔ شکریہ دراز 🌹', 'Same as shown. Very beautiful handset. Will appreciate Tecno for design. So far working fine.', 'mobile is genuine but not used yet but look wise awesome', 'very beautiful very elegant Just like A Wow .😲', 'received before time. nice phone in this price range', 'mashaallah so beautiful so elegant 11.11 zabardast sale']","['A***.', 'Muhammad Z.', 'aamir B.', '3***1', 'Tabraiz A.', 'Bilal A.', 'Fateh K.', 'Raees N.', 'banty', 'Asjed K.', 'Muhammad U.', 'sulaiman K.']"
4,Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"['this is the initial review. the phone is the same as shown.good thing is that it is managed directly by Daraz. packaging was amazing. order came 1 day late only.', 'Daraz is very helpful😎😎I was not have enough money to buy this range mobile so i buy on installment from daraz😍😍😍 Mobile ki look boht achi hy or is range mai best hy😁Thanks daraz and seller🤓', 'Camera satisfactory nh ha, Baki mobile ok ha', 'Daraz is very helpful😎😎I was not have enough money to buy this range mobile so i buy on installment from daraz😍😍😍 Mobile ki look boht achi hy or is range mai best hy😁Thanks daraz and seller🤓', 'very good price comparison to Infinix note 30 pro which black market launch price 61k whereas selling it on 95k', 'Product is good. well packed and everything included. Orignal product. Satisfied with the service. Delivery was on time.', 'The phone is very good and in good price. Delivery was fast. Phone box was wrapped in bubble wrap, so it was safe. Satisfied with the seller.', 'Authentic product in good price . Lightweight, camera is 50MP but quality is not that good. Camera rating 7/10. User interface is very versatile. Face id recognition is not as expected 7/10. At night in ful darkness it has difficultly in recognition. Speaker sound is good.', 'Excellent quality. PTA approved. Fast delivery. Received less than 24 hours of order.', 'very good service fast delivery same as shown in photo, original product', 'delivered within 2 days after use of 3 days mobile was good but warranty card is missing where is warranty card?', 'Mera Oder Monday Ko AA Gaya Tha Review Aj Kr Raha Hu Use Kr K, Mujay BHT Acha discount Mila Hai Jo Device Color Mangwaya Tha Wahi Milha hai Or May Full happy and Satisfied Hu Thanks Daraz Thanx Seller 😊❤️❤️❤️😊']","['Gohar I.', 'Yasir Q.', '3***4', 'Yasir Q.', '3***9', 'Waseem A.', 'Arshad F.', 'U***n', 'Asim K.', 'Javed A.', 'haseeb S.', '3***7']"
5,Tecno CAMON 20 8GB RAM-256GB ROM 5000MAH BATTERY PTA APPROVED OFFICIAL BRAND WARRANTY,"['Mobile received 2 days before delivery date. Mobile has all accessories. Mobile is looking good. But the warranty card has no information about Mobile (like IMEI number, purchase date, etc.)', 'looks original proper pinpacked', 'The Product is original and branded, The quality is best. Thanks Daraz.', 'The cell phone is too good, the delivery service late. Good phone at this price. purchase on Installment by standard chartered Bank, at 3 equal installments without any mark up. Store coupon also used, after its final price was 44000', 'Firstly the Seller Was Non Responsive Nearly After Ten Days I Got the Response From Him, Then k Delivery Was Very Late, Waited For Nearly 12 Days But The Product Was Amazing, Box Was Pin Packed & Got the Same Color, the Seller Is Trustable & I Got This Phone On 11/11 Sale In Just 42500 Where As the Market Price Is 47000. This Phone Outclassed other Phones & Brands. The Specifications Are Amazing In this Pricetag, No Any Other Brand Offer These Specifications in Price. Value For Money Product,', '“I am thoroughly impressed with the Tecno mobile I received. It’s not only a wonderful phone in terms of performance but also the seller’s attention to detail is much appreciated. The phone arrived with the seal intact, which reflects the seller’s commitment to delivering quality and genuine products. This not only gives me confidence in the authenticity of the device but also in the seller’s reliability. The phone itself has exceeded my expectations, offering great features and performance.', 'I had an amazing experience with this store! The customer service was top-notch, and the product exceeded my expectations. I highly recommend them to anyone looking for quality products and excellent service.', ""seller didn't mark stamp on warranty card . when its warranty has started and when to end? how to claim its warranty if any issue happens but product received new and boxed pack."", ""The product was delivered same as per it's description, Item was Delivered in given time. excellent 💯 product in this price. Thanks to Seller Tecno and Thanks to Draz."", 'Mobile received before delivery time and in ordered color. Very happy to received pin pack original product. Thanks seller and of course Daraz.', ""Great Phone for the price. The packaging was great and the phone was sealed Thank you to the seller and also daraz for the 3k discount voucher highly recommend this seller and Tecno canon 20 I'm a bit sad i missed my chance to get the black colour but overall 9.8/10"", 'Mobile received 2 days before delivery date. Mobile has all accessories. Mobile is looking good. But the warranty card has no information about Mobile (like IMEI number, purchase date, etc.)']","['Khurram S.', 'Muhammad O.', 'A***.', 'Ahsan A.', 'Mehran M.', 'Rafique B.', 'Mekaal K.', 'Nihal A.', 'shahzad M.', 'Abdur R.', 'Danish', 'Khurram S.']"
6,Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,"['achhi packing but charging adapter was normal no handsfree no protector no mobile cover baqi use kr ke pta chalay ga dekhnay nice hai', 'Alhamdulillah same recieved as shown in picture. Same specifications A1 condition and fast delivery. Thanks Daraz. i recmond it and i order one more.', 'mobile is just go0d. average in use.. bettery timing is go0d.. camera is just average. overall ghar use k lia thek hai jaha bs call waghaira k lia instmal hota ho', ""I upgraded my stand by phone from A1+ to A2+. I received this phone in great packaging. Delivery was fast. Phone seems a little better than A1+. I wish it would have Type C charging. I'm surprised to see the camera quality, display and battery timing of this phone. A perfect phone in this range with very few compromises. Highly recommended."", 'Assalamu Alaikum, Thank God & Thanks Daraz Team & Wander/seller (XIAOMI). Good Packing & Short Delivery time. Original Product 100%. Recommended. Khushe hai ke AAZADI SALE mai itny Best Price main Redmi A2+ Offer kiya gya, Thanks Daraz app.', 'I recently ordered a phone , and I must say it was a convenient experience. The website had a user-friendly interface, making it easy to browse and compare options. Placing the order was straightforward, and they provided clear shipping information. The phone arrived in good condition and on time. Overall, a hassle-free online phone shopping experience.', 'received my order .The product is very good .I am satisfied with Daraz and the seller response is good .But LCS service is poor due to not deliver my parcel to me not to inform me and delivered my parcel any other address.', 'Very good quality and design. Mobile is genuine and working fine so far. Delivery was quite quick and I received the mobile next day of ordering. price was competitive with market. thank you Daraz.', 'Genuine product and good cell phone in this range .. got at the lowest price through HBL Mega Deal 👍 .. Properly packed and timely delivered .. Satisfied with the seller 🙂 .. Cheers 🙂 !! #11.11', 'Awesome 😎 💯% Original Product In This Price Range The Best Of The Best Mobile MI Redmi A2 Plus (3/64).... Thumbs up 👍 Is Price Range May Use Mobiles Ya Refurbish Mobile Milty hain To Kun Apnay Pasay Zaya Karain Use Or Refurbish Mobile lay kar Jab MI Redmi Day Raha Hay Brand New Box Pack Mobile MI Redmi A2 Plus (3/64) Bhot Hi Kaam Price May .....', 'kmallllll hi hogyaaaa😍😍😍hrgiz b ni lgta tha k daraz sy mob b itny best milty hain...first time daraz sy kuch mngaya wo b direct mob mnga liya or drr tha k paisy gay mery lekin boht zbrdst mob mil gya seller boht honest hai bhiiii thank you or delivery boy ny to kmal hi krdiya time sy pehly hi delivery krdi😍❤️', 'Assalamualaikum, I placed the order fearing not to be scammed, but thanks to Allah, the experience was good, but it is a good mobile at this price, thanks to the seller and the drawer app. ❤️❤️❤️']","['3***1', '3***8', 'Haseeb A.', 'Amjad H.', 'Umer S.', 'Malik S.', 'afzal', 'Adnan A.', 'Bilal A.', 'Raja K.', 'Sadia', 'meer H.']"
7,A04S 4/128GB,"['Good product Packing is good Stisified the sell as compared product But Price is high as compared market almost 2000', 'I have received my Samsung A04S in sealed box and i loved it. Excellent performance, light weight and premium feel make it best phone. I Will love to shop again again from your store .👌🙂', 'Its a brand new phone, I like it. But, no invoice is sent, how to claim warranty? I have asked this in chat also but no reply. Guide me on warranty n send me picture of invoice, please', 'Its a brand new phone, I like it. But, no invoice is sent, how to claim warranty? I have asked this in chat also but no reply. Guide me on warranty n send me picture of invoice, please', 'I have received my Samsung A04S in sealed box and i loved it. Excellent performance, light weight and premium feel make it best phone. I Will love to shop again again from your store .👌🙂', 'تھینکس سیلر بہت اچھی پروڈکٹ ہے اوریجنل ہے شاندار رزلٹ ہے اور اچھی طرح پیکنگ کر کے محفوظ حالت میں بھیجا ہے تھینکس دراز', 'best price 11.11 sale original product PTA approved original packaging 100% ok thanks Daraz thanks HBL thanks seller', 'original product seal packed with all accessories, delivered 2nd day of order placing got HBL discount of 4000rs', 'daraz 11.11 on its real high, amazing discounts as for the mobile phone, a genuine product, good safe packing, highly recommended. thanks daraz and HBL', 'Original And same as advertised.. Received within the given timeline.. Nice device at this price.', 'Genuine and well packed. Delivered in time, good service daraz.', 'Amazing and original product provided by seller. the package was properly sealed with all accessories inside. Warranty card & user guide was also accompanied. The product was offered at the best price compared to open market. Delivery was delayed due to high volume order but a message was received informing about the timeline. Great experience overall #1111']","['Umar I.', 'Ammar Q.', '3***5', '3***5', 'Ammar Q.', 'Shakoor', '3***6', 'Hassan R.', 'Hafiz A.', 'Hafiz A.', 'Reena H.', 'M A.']"
8,Redmi A2+ 3GB - 64GB 5000mAh 10W fast charging 6.52” HD+ Dot Drop display PTA Approved system active,"['Original phone seller response is satisfactory delivery is a little late but overall a good experience . Thanks seller and daraz.', ""The phone is original in good condition but the delivery system of daraz is very slow, In 2 weeks i got this mobile overall it's a good phone. i will recommend"", ""mobile was box packed looks new. let's see it's working .. recommended and will update this after 6months"", 'Same product as shown in description amzaing', 'Zabardast cheez...', 'Mashallah... Thank you so much Daraz... Good Product Zabardast Product hai.. Outstanding Thanks Daraz.....❤️ #11 11 #11.11', 'sooooper thanks to Daraz Seller', 'Original mobile hai tech sirat ki warranty k sath pin pack delivered in time', 'the product is good in quality. and is same as shown. I recommend. but one thing is hands free is not held.', 'Received in perfect condition', 'boaht zabardast.great product', 'Original Product but delivery is late.. anyhow Mob is Good.']","['Muhammad A.', 'Aaqil K.', 'Haroon S.', 'Ch A.', 'Rana Z.', 'Usama N.', 'M***.', 'Muhammad A.', 'mianihsan', 'Basit W.', 'Mursaleen', '3***3']"
9,Redmi note 12 8GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY SUPER FAST CHARGING,"['phone is damaged from edges, pictures uploaded', 'Same As Described original product found in reasonable price than Market', 'I ordered phone in black color but they sent me in Green color. After doing so, he stopped seeing my msgs. Such a ridiculous customer service. I’m completely disappointed over this.', '#11.11 Ordered grey colour but received green. Green is also a very good colour. Product is very good. The price is also very reasonable as compared to the market.', 'Same As Described original product found in reasonable price than Market', 'thanks 👍 good product 👍 colour black kaha tha but green Mila anyway so NYC colour fade', 'so beautiful so elegant just looking like a waooo😔😔😔', 'Best purchase of the year so far! great refresh rate and works seamlessly! Hope I can upgrade to the pro version.', 'Product is good and reasonable. Delayed delivery.', 'brand new and perfectly packed. satisfied!', 'took at best price but rider is worst. three time they put fake attempt on system.', 'The product is awesome but I buy grey color and seller send me mint green color']","['Asif B.', 'M F.', 'a***.', '3***6', 'M F.', 'Waqas A.', 'Nabil M.', 'shaheer W.', '3***9', 'Murtaza N.', 'adeel M.', 'Waqar A.']"
10,"SPARX NEO 7 ULTRA 6+128GB || 6.7"" DISPLAY || 5000mAh BATTERY || OCTA CORE PROCESSOR || FAST CHARGING || PTA APPROVED || ONE YEAR BRAND WARRANTY","['very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku', 'thank you Daraz. kam price m achi chiz. saller bht acha h. mobile bht acha h. jaisa dikha waisa paya', 'Awesome mobile recieved on time very fast processor lovely color seller are very cooperative totally satisfied 👌👍', 'very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku', ""it's fantastic very beautiful mobile and seller is very honest"", 'use kr ka chk Kiya ha boht acha ha mbl phone delivery time hui ha colour boht pyra ha thanks seller', 'wow what a phone im. surprised when i saw this phone infinix has no competetion with spark neo7 ultra its an amazing phone very impressive and build quality in this price range top class specialy camera believe u will be very happy to buy this phone dnt think read my. coment and order it .. thanks for comfortablr and safe service', 'It was good experience seller is also cooperative. Recommended person.', 'I ordered Blue colour Received Yellow colour...Baki Phone to ok hai market price Sy kafi Sasta Mila...11:11 sale Sy pin pack hi bahja...thank U daraz...Thank u Seller 🥰', ""The mobile is exact as shown in advertisement. received a little bit late but that was the problem of TCS I'm satisfied. Thanks seller. Thanks Daraz"", 'i,m v.happy bohut acha mobile ha jesa dikhaya ha wessa hi ha .i,m satisfied.Thanks draz Thanks dealer.❤️', 'Excellent beautiful mobile received, great feel. Seller is responsive and cooperative.']","['Mohammad N.', 'Shahid B.', 'Yasir M.', 'Mohammad N.', 'faisal I.', 'Muhammad A.', 'M. U.', 'Muhammad S.', 'shahmeer A.', 'Hazrat B.', '0***7', 'Mohammed F.']"
